dispute_number,state_a,state_b,current_year,state_a_code,state_b_code,dyad_pair_code,in_trade_dispute,complainant_a,complainant_b,complainant_c,complainant_d,complainant_e,complainant_f,complainant_g,complainant_h,complainant_i,respondent_a,respondent_b,respondent_c,respondent_d,respondent_e,year_initiated,panel_requested,year_concluded,no_years,mtn2023_category,thirdparty_a,thirdparty_b,thirdparty_c,thirdparty_d,thirdparty_e,thirdparty_f,thirdparty_g,thirdparty_h,thirdparty_i,thirdparty_j,thirdparty_k,thirdparty_l,thirdparty_m,thirdparty_n,thirdparty_o,thirdparty_p,thirdparty_q,thirdparty_r,thirdparty_s,thirdparty_t,thirdparty_u,thirdparty_v,thirdparty_w,thirdparty_x,thirdparty_y,thirdparty_z,thirdparty_aa,thirdparty_ab,thirdparty_ac,thirdparty_ad,thirdparty_ae,thirdparty_af,thirdparty_ag,thirdparty_ah,thirdparty_ai
158,PAN,EU,2012,PAN2012,EU20072012,EU20072012PAN2012,1,GUA,HON,MEX,PAN,USA,,,,,EU,,,,,1999,No,2012,14,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,USA,EU,2012,USA2012,EU20072012,EU20072012USA2012,1,GUA,HON,MEX,PAN,USA,,,,,EU,,,,,1999,No,2012,14,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,CZR,HUN,1999,CZR1999,HUN1999,CZR1999HUN1999,1,CZR,,,,,,,,,HUN,,,,,1999,No,1999,1,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,EU,USA,1999,EU19951999,USA1999,EU19951999USA1999,1,EU,,,,,,,,,USA,,,,,1999,Yes,2002,4,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,EU,USA,2000,EU19952000,USA2000,EU19952000USA2000,1,EU,,,,,,,,,USA,,,,,1999,Yes,2002,4,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,EU,USA,2001,EU19952001,USA2001,EU19952001USA2001,1,EU,,,,,,,,,USA,,,,,1999,Yes,2002,4,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,EU,USA,2002,EU19952002,USA2002,EU19952002USA2002,1,EU,,,,,,,,,USA,,,,,1999,Yes,2002,4,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,USA,ROK,1999,USA1999,ROK1999,ROK1999USA1999,1,USA,,,,,,,,,ROK,,,,,1999,Yes,2001,3,A (Live Animals and Meat),AUL,CAN,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,USA,ROK,2000,USA2000,ROK2000,ROK2000USA2000,1,USA,,,,,,,,,ROK,,,,,1999,Yes,2001,3,A (Live Animals and Meat),AUL,CAN,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,USA,ROK,2001,USA2001,ROK2001,ROK2001USA2001,1,USA,,,,,,,,,ROK,,,,,1999,Yes,2001,3,A (Live Animals and Meat),AUL,CAN,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,JPN,USA,1999,JPN1999,USA1999,JPN1999USA1999,1,JPN,,,,,,,,,USA,,,,,1999,Yes,2004,6,W (Not Industry-Specific),EU,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,JPN,USA,2000,JPN2000,USA2000,JPN2000USA2000,1,JPN,,,,,,,,,USA,,,,,1999,Yes,2004,6,W (Not Industry-Specific),EU,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,JPN,USA,2001,JPN2001,USA2001,JPN2001USA2001,1,JPN,,,,,,,,,USA,,,,,1999,Yes,2004,6,W (Not Industry-Specific),EU,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,JPN,USA,2002,JPN2002,USA2002,JPN2002USA2002,1,JPN,,,,,,,,,USA,,,,,1999,Yes,2004,6,W (Not Industry-Specific),EU,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,JPN,USA,2003,JPN2003,USA2003,JPN2003USA2003,1,JPN,,,,,,,,,USA,,,,,1999,Yes,2004,6,W (Not Industry-Specific),EU,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,JPN,USA,2004,JPN2004,USA2004,JPN2004USA2004,1,JPN,,,,,,,,,USA,,,,,1999,Yes,2004,6,W (Not Industry-Specific),EU,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,USA,ROK,1999,USA1999,ROK1999,ROK1999USA1999,1,USA,,,,,,,,,ROK,,,,,1999,Yes,2000,2,U (Transport Equipment),EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,USA,ROK,2000,USA2000,ROK2000,ROK2000USA2000,1,USA,,,,,,,,,ROK,,,,,1999,Yes,2000,2,U (Transport Equipment),EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,USA,ARG,1999,USA1999,ARG1999,ARG1999USA1999,1,USA,,,,,,,,,ARG,,,,,1999,Yes,1999,1,"R (Rubber, Leather and Footwear)",INS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,EU,USA,1999,EU19951999,USA1999,EU19951999USA1999,1,EU,,,,,,,,,USA,,,,,1999,Yes,2001,3,C (Fruits and Vegetables),DMA,ECU,IND,JAM,JPN,SLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,EU,USA,2000,EU19952000,USA2000,EU19952000USA2000,1,EU,,,,,,,,,USA,,,,,1999,Yes,2001,3,C (Fruits and Vegetables),DMA,ECU,IND,JAM,JPN,SLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,EU,USA,2001,EU19952001,USA2001,EU19952001USA2001,1,EU,,,,,,,,,USA,,,,,1999,Yes,2001,3,C (Fruits and Vegetables),DMA,ECU,IND,JAM,JPN,SLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,EU,USA,1999,EU19951999,USA1999,EU19951999USA1999,1,EU,,,,,,,,,USA,,,,,1999,Yes,2001,3,E (Cereals and Food Preparations),AUL,CAN,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,EU,USA,2000,EU19952000,USA2000,EU19952000USA2000,1,EU,,,,,,,,,USA,,,,,1999,Yes,2001,3,E (Cereals and Food Preparations),AUL,CAN,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,EU,USA,2001,EU19952001,USA2001,EU19952001USA2001,1,EU,,,,,,,,,USA,,,,,1999,Yes,2001,3,E (Cereals and Food Preparations),AUL,CAN,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,CAN,USA,1999,CAN1999,USA1999,CAN1999USA1999,1,CAN,,,,,,,,,USA,,,,,1999,No,1999,1,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,IND,SAF,1999,IND1999,SAF1999,IND1999SAF1999,1,IND,,,,,,,,,SAF,,,,,1999,No,1999,1,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,AUL,ROK,1999,AUL1999,ROK1999,AUL1999ROK1999,1,AUL,,,,,,,,,ROK,,,,,1999,Yes,2001,3,A (Live Animals and Meat),CAN,NEW,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,AUL,ROK,2000,AUL2000,ROK2000,AUL2000ROK2000,1,AUL,,,,,,,,,ROK,,,,,1999,Yes,2001,3,A (Live Animals and Meat),CAN,NEW,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,AUL,ROK,2001,AUL2001,ROK2001,AUL2001ROK2001,1,AUL,,,,,,,,,ROK,,,,,1999,Yes,2001,3,A (Live Animals and Meat),CAN,NEW,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,USA,CAN,1999,USA1999,CAN1999,CAN1999USA1999,1,USA,,,,,,,,,CAN,,,,,1999,Yes,2001,3,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,USA,CAN,2000,USA2000,CAN2000,CAN2000USA2000,1,USA,,,,,,,,,CAN,,,,,1999,Yes,2001,3,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,USA,CAN,2001,USA2001,CAN2001,CAN2001USA2001,1,USA,,,,,,,,,CAN,,,,,1999,Yes,2001,3,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,USA,ARG,1999,USA1999,ARG1999,ARG1999USA1999,1,USA,,,,,,,,,ARG,,,,,1999,No,2002,4,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,USA,ARG,2000,USA2000,ARG2000,ARG2000USA2000,1,USA,,,,,,,,,ARG,,,,,1999,No,2002,4,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,USA,ARG,2001,USA2001,ARG2001,ARG2001USA2001,1,USA,,,,,,,,,ARG,,,,,1999,No,2002,4,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,USA,ARG,2002,USA2002,ARG2002,ARG2002USA2002,1,USA,,,,,,,,,ARG,,,,,1999,No,2002,4,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,USA,EU,1999,USA1999,EU19951999,EU19951999USA1999,1,USA,,,,,,,,,EU,,,,,1999,No,1999,1,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,USA,FRN,1999,USA1999,FRN1999,FRN1999USA1999,1,USA,,,,,,,,,FRN,,,,,1999,No,1999,1,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,USA,EU,1999,USA1999,EU19951999,EU19951999USA1999,1,USA,,,,,,,,,EU,,,,,1999,Yes,2006,8,J (Other Agricultural Products),ARG,AUL,BRA,CAN,CHN,TAW,COL,GUA,IND,MEX,NEW,TUR,,,,,,,,,,,,,,,,,,,,,,,
174,USA,EU,2000,USA2000,EU19952000,EU19952000USA2000,1,USA,,,,,,,,,EU,,,,,1999,Yes,2006,8,J (Other Agricultural Products),ARG,AUL,BRA,CAN,CHN,TAW,COL,GUA,IND,MEX,NEW,TUR,,,,,,,,,,,,,,,,,,,,,,,
174,USA,EU,2001,USA2001,EU19952001,EU19952001USA2001,1,USA,,,,,,,,,EU,,,,,1999,Yes,2006,8,J (Other Agricultural Products),ARG,AUL,BRA,CAN,CHN,TAW,COL,GUA,IND,MEX,NEW,TUR,,,,,,,,,,,,,,,,,,,,,,,
174,USA,EU,2002,USA2002,EU19952002,EU19952002USA2002,1,USA,,,,,,,,,EU,,,,,1999,Yes,2006,8,J (Other Agricultural Products),ARG,AUL,BRA,CAN,CHN,TAW,COL,GUA,IND,MEX,NEW,TUR,,,,,,,,,,,,,,,,,,,,,,,
174,USA,EU,2003,USA2003,EU19952003,EU19952003USA2003,1,USA,,,,,,,,,EU,,,,,1999,Yes,2006,8,J (Other Agricultural Products),ARG,AUL,BRA,CAN,CHN,TAW,COL,GUA,IND,MEX,NEW,TUR,,,,,,,,,,,,,,,,,,,,,,,
174,USA,EU,2004,USA2004,EU20042004,EU20042004USA2004,1,USA,,,,,,,,,EU,,,,,1999,Yes,2006,8,J (Other Agricultural Products),ARG,AUL,BRA,CAN,CHN,TAW,COL,GUA,IND,MEX,NEW,TUR,,,,,,,,,,,,,,,,,,,,,,,
174,USA,EU,2005,USA2005,EU20042005,EU20042005USA2005,1,USA,,,,,,,,,EU,,,,,1999,Yes,2006,8,J (Other Agricultural Products),ARG,AUL,BRA,CAN,CHN,TAW,COL,GUA,IND,MEX,NEW,TUR,,,,,,,,,,,,,,,,,,,,,,,
174,USA,EU,2006,USA2006,EU20042006,EU20042006USA2006,1,USA,,,,,,,,,EU,,,,,1999,Yes,2006,8,J (Other Agricultural Products),ARG,AUL,BRA,CAN,CHN,TAW,COL,GUA,IND,MEX,NEW,TUR,,,,,,,,,,,,,,,,,,,,,,,
175,USA,IND,1999,USA1999,IND1999,IND1999USA1999,1,USA,,,,,,,,,IND,,,,,1999,Yes,2002,4,U (Transport Equipment),EU,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,USA,IND,2000,USA2000,IND2000,IND2000USA2000,1,USA,,,,,,,,,IND,,,,,1999,Yes,2002,4,U (Transport Equipment),EU,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,USA,IND,2001,USA2001,IND2001,IND2001USA2001,1,USA,,,,,,,,,IND,,,,,1999,Yes,2002,4,U (Transport Equipment),EU,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,USA,IND,2002,USA2002,IND2002,IND2002USA2002,1,USA,,,,,,,,,IND,,,,,1999,Yes,2002,4,U (Transport Equipment),EU,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,EU,USA,1999,EU19951999,USA1999,EU19951999USA1999,1,EU,,,,,,,,,USA,,,,,1999,Yes,2002,4,W (Not Industry-Specific),JPN,NIC,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,EU,USA,2000,EU19952000,USA2000,EU19952000USA2000,1,EU,,,,,,,,,USA,,,,,1999,Yes,2002,4,W (Not Industry-Specific),JPN,NIC,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,EU,USA,2001,EU19952001,USA2001,EU19952001USA2001,1,EU,,,,,,,,,USA,,,,,1999,Yes,2002,4,W (Not Industry-Specific),JPN,NIC,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,EU,USA,2002,EU19952002,USA2002,EU19952002USA2002,1,EU,,,,,,,,,USA,,,,,1999,Yes,2002,4,W (Not Industry-Specific),JPN,NIC,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,NEW,USA,1999,NEW1999,USA1999,NEW1999USA1999,1,NEW,,,,,,,,,USA,,,,,1999,Yes,2001,3,A (Live Animals and Meat),AUL,CAN,EU,ICE,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,NEW,USA,2000,NEW2000,USA2000,NEW2000USA2000,1,NEW,,,,,,,,,USA,,,,,1999,Yes,2001,3,A (Live Animals and Meat),AUL,CAN,EU,ICE,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,NEW,USA,2001,NEW2001,USA2001,NEW2001USA2001,1,NEW,,,,,,,,,USA,,,,,1999,Yes,2001,3,A (Live Animals and Meat),AUL,CAN,EU,ICE,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,AUL,USA,1999,AUL1999,USA1999,AUL1999USA1999,1,AUL,,,,,,,,,USA,,,,,1999,Yes,2001,3,A (Live Animals and Meat),CAN,EU,ICE,JPN,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,AUL,USA,2000,AUL2000,USA2000,AUL2000USA2000,1,AUL,,,,,,,,,USA,,,,,1999,Yes,2001,3,A (Live Animals and Meat),CAN,EU,ICE,JPN,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,AUL,USA,2001,AUL2001,USA2001,AUL2001USA2001,1,AUL,,,,,,,,,USA,,,,,1999,Yes,2001,3,A (Live Animals and Meat),CAN,EU,ICE,JPN,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,ROK,USA,1999,ROK1999,USA1999,ROK1999USA1999,1,ROK,,,,,,,,,USA,,,,,1999,Yes,2001,3,L (Minerals and Metals),EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,ROK,USA,2000,ROK2000,USA2000,ROK2000USA2000,1,ROK,,,,,,,,,USA,,,,,1999,Yes,2001,3,L (Minerals and Metals),EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,ROK,USA,2001,ROK2001,USA2001,ROK2001USA2001,1,ROK,,,,,,,,,USA,,,,,1999,Yes,2001,3,L (Minerals and Metals),EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,CAN,USA,1999,CAN1999,USA1999,CAN1999USA1999,1,CAN,,,,,,,,,USA,,,,,1999,No,1999,1,G (Sugars and Confectionary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,THI,COL,1999,THI1999,COL1999,COL1999THI1999,1,THI,,,,,,,,,COL,,,,,1999,Yes,1999,1,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,MEX,ECU,1999,MEX1999,ECU1999,ECU1999MEX1999,1,MEX,,,,,,,,,ECU,,,,,1999,No,1999,1,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,EU,BRA,1999,EU19951999,BRA1999,BRA1999EU19951999,1,EU,,,,,,,,,BRA,,,,,1999,No,1999,1,P (Textiles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,JPN,USA,1999,JPN1999,USA1999,JPN1999USA1999,1,JPN,,,,,,,,,USA,,,,,1999,Yes,2001,3,L (Minerals and Metals),BRA,CAN,CHL,EU,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,JPN,USA,2000,JPN2000,USA2000,JPN2000USA2000,1,JPN,,,,,,,,,USA,,,,,1999,Yes,2001,3,L (Minerals and Metals),BRA,CAN,CHL,EU,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,JPN,USA,2001,JPN2001,USA2001,JPN2001USA2001,1,JPN,,,,,,,,,USA,,,,,1999,Yes,2001,3,L (Minerals and Metals),BRA,CAN,CHL,EU,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,COS,TRI,1999,COS1999,TRI1999,COS1999TRI1999,1,COS,,,,,,,,,TRI,,,,,1999,No,1999,1,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,EU,USA,2000,EU19952000,USA2000,EU19952000USA2000,1,EU,,,,,,,,,USA,,,,,2000,No,2000,1,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,COS,TRI,2000,COS2000,TRI2000,COS2000TRI2000,1,COS,,,,,,,,,TRI,,,,,2000,No,2000,1,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,COL,NIC,2000,COL2000,NIC2000,COL2000NIC2000,1,COL,,,,,,,,,NIC,,,,,2000,Yes,2000,1,W (Not Industry-Specific),CAN,COS,EU,HON,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,EU,ARG,2000,EU19952000,ARG2000,ARG2000EU19952000,1,EU,,,,,,,,,ARG,,,,,2000,Yes,2002,3,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,EU,ARG,2001,EU19952001,ARG2001,ARG2001EU19952001,1,EU,,,,,,,,,ARG,,,,,2000,Yes,2002,3,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,EU,ARG,2002,EU19952002,ARG2002,ARG2002EU19952002,1,EU,,,,,,,,,ARG,,,,,2000,Yes,2002,3,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,BRA,ARG,2000,BRA2000,ARG2000,ARG2000BRA2000,1,BRA,,,,,,,,,ARG,,,,,2000,Yes,2000,1,"I (Cotton, Silk and Wool)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,MEX,ECU,2000,MEX2000,ECU2000,ECU2000MEX2000,1,MEX,,,,,,,,,ECU,,,,,2000,No,2000,1,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PAK,USA,2000,PAK2000,USA2000,PAK2000USA2000,1,PAK,,,,,,,,,USA,,,,,2000,Yes,2001,2,P (Textiles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PAK,USA,2001,PAK2001,USA2001,PAK2001USA2001,1,PAK,,,,,,,,,USA,,,,,2000,Yes,2001,2,P (Textiles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,EU,CHL,2000,EU19952000,CHL2000,CHL2000EU19952000,1,EU,,,,,,,,,CHL,,,,,2000,Yes,2007,8,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,EU,CHL,2001,EU19952001,CHL2001,CHL2001EU19952001,1,EU,,,,,,,,,CHL,,,,,2000,Yes,2007,8,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,EU,CHL,2002,EU19952002,CHL2002,CHL2002EU19952002,1,EU,,,,,,,,,CHL,,,,,2000,Yes,2007,8,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,EU,CHL,2003,EU19952003,CHL2003,CHL2003EU19952003,1,EU,,,,,,,,,CHL,,,,,2000,Yes,2007,8,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,EU,CHL,2004,EU20042004,CHL2004,CHL2004EU20042004,1,EU,,,,,,,,,CHL,,,,,2000,Yes,2007,8,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,EU,CHL,2005,EU20042005,CHL2005,CHL2005EU20042005,1,EU,,,,,,,,,CHL,,,,,2000,Yes,2007,8,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,EU,CHL,2006,EU20042006,CHL2006,CHL2006EU20042006,1,EU,,,,,,,,,CHL,,,,,2000,Yes,2007,8,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,EU,CHL,2007,EU20072007,CHL2007,CHL2007EU20072007,1,EU,,,,,,,,,CHL,,,,,2000,Yes,2007,8,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,CAN,USA,2000,CAN2000,USA2000,CAN2000USA2000,1,CAN,,,,,,,,,USA,,,,,2000,Yes,2001,2,W (Not Industry-Specific),AUL,EU,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,CAN,USA,2001,CAN2001,USA2001,CAN2001USA2001,1,CAN,,,,,,,,,USA,,,,,2000,Yes,2001,2,W (Not Industry-Specific),AUL,EU,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,USA,PHI,2000,USA2000,PHI2000,PHI2000USA2000,1,USA,,,,,,,,,PHI,,,,,2000,Yes,2000,1,U (Transport Equipment),IND,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,USA,ARG,2000,USA2000,ARG2000,ARG2000USA2000,1,USA,,,,,,,,,ARG,,,,,2000,No,2002,3,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,USA,ARG,2001,USA2001,ARG2001,ARG2001USA2001,1,USA,,,,,,,,,ARG,,,,,2000,No,2002,3,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,USA,ARG,2002,USA2002,ARG2002,ARG2002USA2002,1,USA,,,,,,,,,ARG,,,,,2000,No,2002,3,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,USA,BRA,2000,USA2000,BRA2000,BRA2000USA2000,1,USA,,,,,,,,,BRA,,,,,2000,No,2000,1,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,USA,ROM,2000,USA2000,ROM2000,ROM2000USA2000,1,USA,,,,,,,,,ROM,,,,,2000,No,2001,2,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,USA,ROM,2001,USA2001,ROM2001,ROM2001USA2001,1,USA,,,,,,,,,ROM,,,,,2000,No,2001,2,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,USA,BRA,2000,USA2000,BRA2000,BRA2000USA2000,1,USA,,,,,,,,,BRA,,,,,2000,Yes,2001,2,W (Not Industry-Specific),DOM,HON,IND,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,USA,BRA,2001,USA2001,BRA2001,BRA2001USA2001,1,USA,,,,,,,,,BRA,,,,,2000,Yes,2001,2,W (Not Industry-Specific),DOM,HON,IND,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,EU,USA,2000,EU19952000,USA2000,EU19952000USA2000,1,EU,,,,,,,,,USA,,,,,2000,No,2000,1,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,HON,NIC,2000,HON2000,NIC2000,HON2000NIC2000,1,HON,,,,,,,,,NIC,,,,,2000,No,2000,1,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,ROK,USA,2000,ROK2000,USA2000,ROK2000USA2000,1,ROK,,,,,,,,,USA,,,,,2000,Yes,2003,4,"S (Mechanical, Office and Computing Machinery)",AUL,CAN,EU,JPN,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,ROK,USA,2001,ROK2001,USA2001,ROK2001USA2001,1,ROK,,,,,,,,,USA,,,,,2000,Yes,2003,4,"S (Mechanical, Office and Computing Machinery)",AUL,CAN,EU,JPN,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,ROK,USA,2002,ROK2002,USA2002,ROK2002USA2002,1,ROK,,,,,,,,,USA,,,,,2000,Yes,2003,4,"S (Mechanical, Office and Computing Machinery)",AUL,CAN,EU,JPN,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,ROK,USA,2003,ROK2003,USA2003,ROK2003USA2003,1,ROK,,,,,,,,,USA,,,,,2000,Yes,2003,4,"S (Mechanical, Office and Computing Machinery)",AUL,CAN,EU,JPN,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,USA,MEX,2000,USA2000,MEX2000,MEX2000USA2000,1,USA,,,,,,,,,MEX,,,,,2000,No,2000,1,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,USA,MEX,2000,USA2000,MEX2000,MEX2000USA2000,1,USA,,,,,,,,,MEX,,,,,2000,Yes,2005,6,T (Electrical Machinery and Electronic Equipment),AUL,BRA,CAN,CUB,EU,GUA,HON,IND,JPN,NIC,,,,,,,,,,,,,,,,,,,,,,,,,
204,USA,MEX,2001,USA2001,MEX2001,MEX2001USA2001,1,USA,,,,,,,,,MEX,,,,,2000,Yes,2005,6,T (Electrical Machinery and Electronic Equipment),AUL,BRA,CAN,CUB,EU,GUA,HON,IND,JPN,NIC,,,,,,,,,,,,,,,,,,,,,,,,,
204,USA,MEX,2002,USA2002,MEX2002,MEX2002USA2002,1,USA,,,,,,,,,MEX,,,,,2000,Yes,2005,6,T (Electrical Machinery and Electronic Equipment),AUL,BRA,CAN,CUB,EU,GUA,HON,IND,JPN,NIC,,,,,,,,,,,,,,,,,,,,,,,,,
204,USA,MEX,2003,USA2003,MEX2003,MEX2003USA2003,1,USA,,,,,,,,,MEX,,,,,2000,Yes,2005,6,T (Electrical Machinery and Electronic Equipment),AUL,BRA,CAN,CUB,EU,GUA,HON,IND,JPN,NIC,,,,,,,,,,,,,,,,,,,,,,,,,
