dispute_number,title_of_dispute,complainant_a,complainant_b,complainant_c,complainant_d,complainant_e,complainant_f,complainant_g,complainant_h,complainant_i,respondent_a,respondent_b,respondent_c,respondent_d,respondent_e,year_initiated,panel_requested,year_concluded,status,mtn2023_category,thirdparty_a,thirdparty_b,thirdparty_c,thirdparty_d,thirdparty_e,thirdparty_f,thirdparty_g,thirdparty_h,thirdparty_i,thirdparty_j,thirdparty_k,thirdparty_l,thirdparty_m,thirdparty_n,thirdparty_o,thirdparty_p,thirdparty_q,thirdparty_r,thirdparty_s,thirdparty_t,thirdparty_u,thirdparty_v,thirdparty_w,thirdparty_x,thirdparty_y,thirdparty_z,thirdparty_aa,thirdparty_ab,thirdparty_ac,thirdparty_ad,thirdparty_ae,thirdparty_af,thirdparty_ag,thirdparty_ah,thirdparty_ai,no_third_parties
105,"EU1995 - Regime for the Importation, Sale and Distribution of Bananas",PAN,,,,,,,,,EU,,,,,1997,No,2012,"Settled or terminated (withdrawn, mutually agreed solution)",C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
106,AUL - Subsidies Provided to Producers and Exporters of Automotive Leather,USA,,,,,,,,,AUL,,,,,1997,Yes,1998,"Settled or terminated (withdrawn, mutually agreed solution)",U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
107,PAK - Export Measures Affecting Hides and Skins,EU,,,,,,,,,PAK,,,,,1997,No,1997,In consultations,"R (Rubber, Leather and Footwear)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
108,"USA - Tax Treatment for ""Foreign Sales Corporations""",EU,,,,,,,,,USA,,,,,1997,Yes,2006,Mutually acceptable solution on implementation notified,W (Not Industry-Specific),AUL,BAR,BRA,CAN,CHN,IND,JAM,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
109,CHL - Taxes on Alcoholic Beverages,USA,,,,,,,,,CHL,,,,,1997,No,1997,In consultations,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
110,CHL - Taxes on Alcoholic Beverages,EU,,,,,,,,,CHL,,,,,1997,Yes,2001,Implementation notified by respondent,H (Beverages and Tobacco),CAN,PER,USA,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
111,USA - Tariff Rate Quota for Imports of Groundnuts,ARG,,,,,,,,,USA,,,,,1997,No,1997,In consultations,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
112,PER - Countervailing Duty Investigation against Imports of Buses from BRA,BRA,,,,,,,,,PER,,,,,1997,No,1997,In consultations,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
113,CAN - Measures Affecting Dairy Exports,NEW,,,,,,,,,CAN,,,,,1997,Yes,2003,Mutually acceptable solution on implementation notified,B (Dairy Products),ARG,AUL,EU,JPN,MEX,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
114,CAN - Patent Protection of Pharmaceutical Products,EU,,,,,,,,,CAN,,,,,1997,Yes,2000,Implementation notified by respondent,N (Chemicals),AUL,BRA,COL,CUB,IND,ISR,JPN,POL,SWZ,THI,USA,,,,,,,,,,,,,,,,,,,,,,,,,11
115,EU1995 - Measures Affecting the Grant of Copyright and Neighbouring Rights,USA,,,,,,,,,EU,,,,,1998,No,2000,"Settled or terminated (withdrawn, mutually agreed solution)",V (Other Manufactures),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
116,BRA - Measures Affecting Payment Terms for Imports,EU,,,,,,,,,BRA,,,,,1998,No,1998,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
117,CAN - Measures Affecting Film Distribution Services,EU,,,,,,,,,CAN,,,,,1998,No,1998,In consultations,V (Other Manufactures),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
118,USA - Harbour Maintenance Tax,EU,,,,,,,,,USA,,,,,1998,No,1998,In consultations,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
119,AUL - Anti-Dumping Measures on Imports of Coated Woodfree Paper Sheets,SWZ,,,,,,,,,AUL,,,,,1998,No,1998,"Settled or terminated (withdrawn, mutually agreed solution)","S (Mechanical, Office and Computing Machinery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
120,IND - Measures Affecting Export of Certain Commodities,EU,,,,,,,,,IND,,,,,1998,No,1998,In consultations,"R (Rubber, Leather and Footwear)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
121,ARG - Safeguard Measures on Imports of Footwear,EU,,,,,,,,,ARG,,,,,1998,Yes,2000,Implementation notified by respondent,"R (Rubber, Leather and Footwear)",BRA,INS,PAR,URU,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
122,"THI - Anti-Dumping Duties on Angles, Shapes and Sections of Iron or Non-Alloy Steel and H Beams from POL",POL,,,,,,,,,THI,,,,,1998,Yes,2002,Implementation notified by respondent,L (Minerals and Metals),EU,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
123,ARG - Safeguard Measures on Imports of Footwear,INS,,,,,,,,,ARG,,,,,1998,No,1998,In consultations,"R (Rubber, Leather and Footwear)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
124,EU1995 - Enforcement of Intellectual Property Rights for Motion Pictures and Television Programs,USA,,,,,,,,,EU,,,,,1998,No,2001,"Settled or terminated (withdrawn, mutually agreed solution)",V (Other Manufactures),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
125,GRC - Enforcement of Intellectual Property Rights for Motion Pictures and Television Programs,USA,,,,,,,,,GRC,,,,,1998,No,2001,"Settled or terminated (withdrawn, mutually agreed solution)",V (Other Manufactures),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
126,AUL - Subsidies Provided to Producers and Exporters of Automotive Leather,USA,,,,,,,,,AUL,,,,,1998,Yes,2000,Mutually acceptable solution on implementation notified,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
127,BEL - Certain Income Tax Measures Constituting Subsidies,USA,,,,,,,,,BEL,,,,,1998,No,1998,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
128,NTH - Certain Income Tax Measures Constituting Subsidies,USA,,,,,,,,,NTH,,,,,1998,No,1998,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
129,GRC - Certain Income Tax Measures Constituting Subsidies,USA,,,,,,,,,GRC,,,,,1998,No,1998,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
130,IRE - Certain Income Tax Measures Constituting Subsidies,USA,,,,,,,,,IRE,,,,,1998,No,1998,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
131,FRN - Certain Income Tax Measures Consituting Subsidies,USA,,,,,,,,,FRN,,,,,1998,No,1998,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
132,MEX - Anti-Dumping Investigation of High-Fructose Corn Syrup (HFCS) from the USA,USA,,,,,,,,,MEX,,,,,1998,Yes,2001,Compliance proceedings completed with finding(s) of non-compliance,G (Sugars and Confectionary),JAM,MAS,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
133,Slovak Republic - Measures Concerning the Importation of Dairy Products and the Transit of Cattle,SWZ,,,,,,,,,SLO,,,,,1998,No,1998,In consultations,B (Dairy Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
134,EU1995 - Restrictions on Certain Import Duties on Rice,IND,,,,,,,,,EU,,,,,1998,No,1998,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
135,EU1995 - Measures Affecting Asbestos and Products Containing Asbestos,CAN,,,,,,,,,EU,,,,,1998,Yes,2001,"Report(s) adopted, no further action required",N (Chemicals),BRA,ZIM,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
136,USA - Anti-Dumping Act of 1916,EU,,,,,,,,,USA,,,,,1998,Yes,2004,Implementation notified by respondent,W (Not Industry-Specific),IND,JPN,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
137,EU1995 - Measures Affecting Imports of Wood of Conifers from CAN,CAN,,,,,,,,,EU,,,,,1998,No,1998,In consultations,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
138,USA - Imposition of Countervailing Duties on Certain Hot-Rolled Lead and Bismuth Carbon Steel Products Originating in the UKG,EU,,,,,,,,,USA,,,,,1998,Yes,2000,Implementation notified by respondent,L (Minerals and Metals),BRA,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
139,CAN - Certain Measures Affecting the Automative Industry,JPN,,,,,,,,,CAN,,,,,1998,Yes,2001,Implementation notified by respondent,U (Transport Equipment),IND,ROK,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
140,EU1995 - Anti-Dumping Investigations Regarding Unbleached Cotton Fabrics from IND,IND,,,,,,,,,EU,,,,,1998,No,1998,In consultations,"I (Cotton, Silk and Wool)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
141,EU1995 - Anti-Dumping Duties on Imports of Cotton-type Bed Linen from IND,IND,,,,,,,,,EU,,,,,1998,Yes,2003,Compliance proceedings completed with finding(s) of non-compliance,"I (Cotton, Silk and Wool)",EGY,JPN,ROK,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
142,CAN - Certain Measures Affecting the Automative Industry,EU,,,,,,,,,CAN,,,,,1998,Yes,2001,Implementation notified by respondent,U (Transport Equipment),IND,ROK,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
143,Slovak Republic - Measure Affecting Import Duty on Wheat from HUN,HUN,,,,,,,,,SLO,,,,,1998,No,1998,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
144,"USA - Certain Measures Affecting the Import of Cattle, Swine and Grain from CAN",CAN,,,,,,,,,USA,,,,,1998,No,1998,In consultations,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
145,ARG - Countervailing Duties on Imports of Wheat Gluten from the EU1995,EU,,,,,,,,,ARG,,,,,1998,No,1998,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
146,IND - Measures Affecting the Automotive Sector,EU,,,,,,,,,IND,,,,,1998,Yes,2002,Implementation notified by respondent,U (Transport Equipment),JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
147,JPN - Tariff Quotas and Subsidies Affecting Leather,EU,,,,,,,,,JPN,,,,,1998,No,1998,In consultations,"R (Rubber, Leather and Footwear)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
148,CZR - Measure Affecting Import Duty on Wheat from HUN,HUN,,,,,,,,,CZR,,,,,1998,No,1998,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
149,IND - Import Restrictions,EU,,,,,,,,,IND,,,,,1998,No,1998,In consultations,J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
150,IND - Measures Affecting Customs Duties,EU,,,,,,,,,IND,,,,,1998,No,1998,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
151,USA - Measures Affecting Textiles and Apparel Products (II),EU,,,,,,,,,USA,,,,,1998,No,2000,"Settled or terminated (withdrawn, mutually agreed solution)",Q (Clothing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
152,USA - Sections 301-310 of the Trade Act 1974,EU,,,,,,,,,USA,,,,,1998,Yes,2000,"Report(s) adopted, no further action required",W (Not Industry-Specific),BRA,CAN,COL,COS,CUB,DMA,DOM,ECU,HGK,CHN,IND,ISR,JAM,JPN,ROK,SLU,THI,,,,,,,,,,,,,,,,,,,17
153,EU1995 - Patent Protection for Pharmaceutial and Agricultural Chemical Products,CAN,,,,,,,,,EU,,,,,1998,No,1998,In consultations,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
154,EU1995 - Measures Affecting Differential and Favourable Treatment of Coffee,BRA,,,,,,,,,EU,,,,,1998,No,1998,In consultations,"D (Coffee, Tea, Cocoa and Spices)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
155,ARG - Measures Affecting the Export of Bovine Hides and the Import of Finished Leather,EU,,,,,,,,,ARG,,,,,1998,Yes,2001,"Report(s) adopted, with recommendations to bring measures into conformity","R (Rubber, Leather and Footwear)",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
156,GUA - Definitive Anti-Dumping Measure on Grey Portland Cement from MEX,MEX,,,,,,,,,GUA,,,,,1999,Yes,2000,Implementation notified by respondent,L (Minerals and Metals),EU,ECU,SAL,HON,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
157,ARG - Definitive Anti-Dumping Measures on Imports of Drill Bits from ITA,EU,,,,,,,,,ARG,,,,,1999,No,1999,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
158,"EU1995 - Regime for the Importation, Sale and Distribution of Bananas",GUA,HON,MEX,PAN,USA,,,,,EU,,,,,1999,No,2012,"Settled or terminated (withdrawn, mutually agreed solution)",C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
159,HUN - Safeguard Measure on Imports of Steel Products from the CZR,CZR,,,,,,,,,HUN,,,,,1999,No,1999,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
160,USA - Section 110(5) of US Copyright Act,EU,,,,,,,,,USA,,,,,1999,Yes,2002,Authorization to retaliate requested,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
161,"Korea - Measures Affecting Imports of Fresh, Chilled and Frozen Beef",USA,,,,,,,,,ROK,,,,,1999,Yes,2001,Implementation notified by respondent,A (Live Animals and Meat),AUL,CAN,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
162,USA - Anti-Dumping Act of 1916,JPN,,,,,,,,,USA,,,,,1999,Yes,2004,Implementation notified by respondent,W (Not Industry-Specific),EU,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
163,Korea - Measures Affecting Government Procurement,USA,,,,,,,,,ROK,,,,,1999,Yes,2000,"Report(s) adopted, no further action required",U (Transport Equipment),EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
164,ARG - Measures Affecting Imports of Footwear,USA,,,,,,,,,ARG,,,,,1999,Yes,1999,"Panel established, but not yet composed","R (Rubber, Leather and Footwear)",INS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
165,USA - Import Measures on Certain Products from the EU1995,EU,,,,,,,,,USA,,,,,1999,Yes,2001,"Report(s) adopted, no further action required",C (Fruits and Vegetables),DMA,ECU,IND,JAM,JPN,SLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
166,USA - Definitive Safeguard Measures on Imports of Wheat Gluten from the EU1995,EU,,,,,,,,,USA,,,,,1999,Yes,2001,"Report(s) adopted, with recommendations to bring measures into conformity",E (Cereals and Food Preparations),AUL,CAN,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
167,USA - Countervailing Duty Investigation with respect to Live Cattle from CAN,CAN,,,,,,,,,USA,,,,,1999,No,1999,In consultations,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
168,SAF - Anti-Dumping Duties on Certain Pharmaceutical Products from IND,IND,,,,,,,,,SAF,,,,,1999,No,1999,In consultations,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
169,"Korea - Measures Affecting Imports of Fresh, Chilled and Frozen Beef",AUL,,,,,,,,,ROK,,,,,1999,Yes,2001,Implementation notified by respondent,A (Live Animals and Meat),CAN,NEW,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
170,CAN - Team of Patent Protection,USA,,,,,,,,,CAN,,,,,1999,Yes,2001,Implementation notified by respondent,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
171,ARG - Patent Protection for Pharmaceuticals and Test Data Protection for Agricultural Chemicals,USA,,,,,,,,,ARG,,,,,1999,No,2002,"Settled or terminated (withdrawn, mutually agreed solution)",N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
172,EU1995 - Measures Relating to the Development of a Flight Management System,USA,,,,,,,,,EU,,,,,1999,No,1999,In consultations,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
173,FRN - Measures Relating to the Development of a Flight Management System,USA,,,,,,,,,FRN,,,,,1999,No,1999,In consultations,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
174,European Communiities - Protection of Trademarks and Geographical Indications for Agricultural Products and Foodstuffs,USA,,,,,,,,,EU,,,,,1999,Yes,2006,Implementation notified by respondent,J (Other Agricultural Products),ARG,AUL,BRA,CAN,CHN,TAW,COL,GUA,IND,MEX,NEW,TUR,,,,,,,,,,,,,,,,,,,,,,,,12
175,IND - Measures Affecting Trade and Investment in the Motor Vehicle Sector,USA,,,,,,,,,IND,,,,,1999,Yes,2002,Implementation notified by respondent,U (Transport Equipment),EU,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
176,USA - Section 211 Omnibus Appropriations Act of 1998,EU,,,,,,,,,USA,,,,,1999,Yes,2002,"Report(s) adopted, with recommendations to bring measures into conformity",W (Not Industry-Specific),JPN,NIC,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
177,"USA - Safeguard Measure on Imports of Fresh, Chilled or Frozen Lamb from NEW",NEW,,,,,,,,,USA,,,,,1999,Yes,2001,Implementation notified by respondent,A (Live Animals and Meat),AUL,CAN,EU,ICE,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
178,"USA - Safeguard Measure on Imports of Fresh, Chilled or Frozen Lamb from AUL",AUL,,,,,,,,,USA,,,,,1999,Yes,2001,Implementation notified by respondent,A (Live Animals and Meat),CAN,EU,ICE,JPN,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
179,USA - Anti-Dumping Measures on Stainless Steel Plate in Coils and Stainless Steel Sheet and Strip from Korea,ROK,,,,,,,,,USA,,,,,1999,Yes,2001,Implementation notified by respondent,L (Minerals and Metals),EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
180,USA - Reclassification of Certain Sugar Syrups,CAN,,,,,,,,,USA,,,,,1999,No,1999,In consultations,G (Sugars and Confectionary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
181,COL - Safeguard Measure of Imports of Plain Polyester Filaments from THI,THI,,,,,,,,,COL,,,,,1999,Yes,1999,"Settled or terminated (withdrawn, mutually agreed solution)",N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
182,ECU - Provisional Anti-Dumping Measure on Cement from MEX,MEX,,,,,,,,,ECU,,,,,1999,No,1999,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
183,BRA - Measures on Import Licensing and Minimum Import Prices,EU,,,,,,,,,BRA,,,,,1999,No,1999,In consultations,P (Textiles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
184,USA - Anti-Dumping Measures on Certain Hot-Rolled Steel Products from JPN,JPN,,,,,,,,,USA,,,,,1999,Yes,2001,"Report(s) adopted, with recommendations to bring measures into conformity",L (Minerals and Metals),BRA,CAN,CHL,EU,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
185,TRI - Anti-Dumping Measures on Pasta from COS,COS,,,,,,,,,TRI,,,,,1999,No,1999,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
186,USA - Section 337 of the Tariff Act of 1930 and Amendments thereto,EU,,,,,,,,,USA,,,,,2000,No,2000,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
187,TRI - Provisional Anti-Dumping Measure on Macaroni and Spaghetti from COS,COS,,,,,,,,,TRI,,,,,2000,No,2000,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
188,NIC - Measures Affecting Imports from HON and COL,COL,,,,,,,,,NIC,,,,,2000,Yes,2000,"Panel established, but not yet composed",W (Not Industry-Specific),CAN,COS,EU,HON,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
189,ARG - Definitive Anti-Dumping Measures on Carton-Board Imports from GMY and Definitive Anti-Dumping Measures on Imports of Ceramic Tiles from ITA,EU,,,,,,,,,ARG,,,,,2000,Yes,2002,Implementation notified by respondent,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
190,ARG - Traditional Safeguard Measures on Certain Imports of Woven Fabric Products of Cotton and Cotton Mixtures Originating in BRA,BRA,,,,,,,,,ARG,,,,,2000,Yes,2000,"Settled or terminated (withdrawn, mutually agreed solution)","I (Cotton, Silk and Wool)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
191,ECU - Definitive Anti-Dumping Measure on Cement from MEX,MEX,,,,,,,,,ECU,,,,,2000,No,2000,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
192,USA - Transitional Safeguard Measure on Combed Cotton Yarn from PAK,PAK,,,,,,,,,USA,,,,,2000,Yes,2001,Implementation notified by respondent,P (Textiles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
193,CHL - Measures affecting the Transit and Importing of Swordfish,EU,,,,,,,,,CHL,,,,,2000,Yes,2007,"Settled or terminated (withdrawn, mutually agreed solution)",K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
194,USA - Measures Treating Export Restraints as Subsidies,CAN,,,,,,,,,USA,,,,,2000,Yes,2001,"Report(s) adopted, no further action required",W (Not Industry-Specific),AUL,EU,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
195,PHI - Measures Affecting Trade and Investment in the Motor Vehicle Sector,USA,,,,,,,,,PHI,,,,,2000,Yes,2000,"Panel established, but not yet composed",U (Transport Equipment),IND,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
196,ARG - Certain Measures on the Protection of Patents and Test Data,USA,,,,,,,,,ARG,,,,,2000,No,2002,"Settled or terminated (withdrawn, mutually agreed solution)",N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
197,BRA - Measures on Minimum Import Prices,USA,,,,,,,,,BRA,,,,,2000,No,2000,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
198,ROM - Measures on Minimum Import Prices,USA,,,,,,,,,ROM,,,,,2000,No,2001,"Settled or terminated (withdrawn, mutually agreed solution)",W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
199,BRA - Measures Affecting Patent Protection,USA,,,,,,,,,BRA,,,,,2000,Yes,2001,"Settled or terminated (withdrawn, mutually agreed solution)",W (Not Industry-Specific),DOM,HON,IND,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
200,USA - Section 306 of the Trade Act 1974 and Amendments thereto,EU,,,,,,,,,USA,,,,,2000,No,2000,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
201,NIC - Measures Affecting Imports from HON and COL,HON,,,,,,,,,NIC,,,,,2000,No,2000,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
202,USA - Definitive Safeguard Measures on Imports of Circular Welded Carbon Quality Line Pipe from Korea,ROK,,,,,,,,,USA,,,,,2000,Yes,2003,Implementation notified by respondent,"S (Mechanical, Office and Computing Machinery)",AUL,CAN,EU,JPN,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
203,MEX - Measures Affecting Trade in Live Swine,USA,,,,,,,,,MEX,,,,,2000,No,2000,In consultations,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
204,MEX - Measures Affecting Telecommunication Services,USA,,,,,,,,,MEX,,,,,2000,Yes,2005,Implementation notified by respondent,T (Electrical Machinery and Electronic Equipment),AUL,BRA,CAN,CUB,EU,GUA,HON,IND,JPN,NIC,,,,,,,,,,,,,,,,,,,,,,,,,,10
205,EGY - Import Prohibition on Canned Tuna with Soybean Oil,THI,,,,,,,,,EGY,,,,,2000,No,2000,In consultations,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
206,USA - Anti-Dumping and Countervailing Measures on Steel Plate from IND,IND,,,,,,,,,USA,,,,,2000,Yes,2003,Implementation notified by respondent,L (Minerals and Metals),CHN,EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
207,CHL - Price Band System and Safeguard Measures Relating to Certain Agricultural Products,ARG,,,,,,,,,CHL,,,,,2000,Yes,2007,Compliance proceedings completed with finding(s) of non-compliance,E (Cereals and Food Preparations),AUL,BRA,CAN,CHN,COL,COS,EU,ECU,SAL,GUA,HON,JPN,NIC,PAR,PER,THI,VEN,USA,,,,,,,,,,,,,,,,,,18
208,TUR - Anti-Dumping Duty on Steel and Iron Pipe Fittings,BRA,,,,,,,,,TUR,,,,,2000,No,2000,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
209,EU1995 - Measures Affecting Soluble Coffee,BRA,,,,,,,,,EU,,,,,2000,No,2000,In consultations,"D (Coffee, Tea, Cocoa and Spices)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
210,BEL - Administration of Measures Establishing Customs Duties for Rice,USA,,,,,,,,,BEL,,,,,2000,Yes,2001,"Settled or terminated (withdrawn, mutually agreed solution)",E (Cereals and Food Preparations),IND,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
211,EGY - Definitive Anti-Dumping Measures on Steel Rebar from TUR,TUR,,,,,,,,,EGY,,,,,2000,Yes,2003,Implementation notified by respondent,L (Minerals and Metals),CHL,EU,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
212,USA - Countervailing Measures Concerning Certain Products from the EU1995,EU,,,,,,,,,USA,,,,,2000,Yes,2006,Implementation notified by respondent,W (Not Industry-Specific),BRA,CHN,IND,ROK,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
